name,Neutre,Négatif,Positif
1785 Inn,4,12,0
1900 House,12,2,0
40 Berkeley Hostel,14,147,0
A Bed & Breakfast In Cambridge,18,36,1
A Swallow's Nest Motel,0,1,0
Abbeville Inn,1,0,0
Acorn Motor Inn,6,14,0
Adobe Nido Bed & Breakfast,1,0,0
Adria Motor Inn,0,1,0
Advance Motel,0,1,0
Agate Beach Motel,17,4,0
Albert's Motel,0,1,0
Alpine Motel,1,0,0
Alyssa's Motel,0,1,0
Ambassador Inn Albuquerque,2,3,0
Ambassadors Inn and Suites,8,96,0
Ambiance,2,0,0
America's Best Value Inn,2,9,0
American Star Inn and Suites Atlantic City,8,58,0
Americana Resort Properties,0,1,0
Americas Best Value Inn,66,501,0
Americas Best Value Inn - Medical Center/airport,25,53,0
Americas Best Value Inn and Suites,4,48,0
Americinn Coralville,19,91,0
Americinn Lodge & Suites Appleton,4,27,0
Americinn Lodge Suites Austin,18,13,0
Americinn Lodge Suites Oscoda - Ausable River,15,1,0
Americinn Lodge Suites Princeton,40,7,0
Americinn Lodge and Suites,0,1,0
Amerihost Inn,0,1,0
Amisos Hotel,6,26,0
Anaheim Marriott Suites,154,121,0
Anglers Inn,21,51,0
Antlers Inn,6,13,0
Arcola Inn,0,3,0
Arion,25,15,0
Arizona Inn of Prescott Valley,13,82,0
Arrowhead Motel and Rv Park,11,0,0
Aspen Alps,8,2,0
Aspen Haus Bed and Breakfast,15,5,0
Astro Motel,0,1,0
Atlanta Marriott Northwest At Galleria,0,1,0
Atlantic House,3,14,0
Avalon Hotel Group,0,1,0
Azul Beach Hotel By Karisma Gourmet Inclusive,5,11,0
Bailey Hotel,0,1,0
Bailey House Bed & Breakfast,17,8,0
Barber Joyce,0,1,0
Bay Haven Inn Bed Breakfast,0,1,0
Bay Shores Yachttennisclub 514 2 Br Condo By Redawning,10,1,0
Baymont Inn & Suites Griffin,34,37,0
Baymont Inn and Suites Boone,7,76,0
Baymont Inn and Suites Enid,19,27,0
Bayside Resort Hotel,60,92,0
Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,35,36,0
Beach Haven Vacation Rental House,5,0,0
Beacon Motel,0,1,0
Bear Cove Inn,6,5,0
Bellaire Motel Lodge,0,2,0
Bent Elbow,3,8,0
Berkshire By The Sea A Vri Resort,8,2,0
Berney Fly Bed and Breakfast,26,11,0
Best Western,7,0,0
Best Western Burlington Inn,2,0,0
Best Western Eufaula Inn,11,8,0
Best Western Hartford Hotel & Suites,29,47,0
Best Western Holiday Hills,37,30,0
Best Western Hospitality Hotel and Suites,40,96,0
Best Western Hotel De Neuville,26,35,0
Best Western Hotel Goldenmile Milan,14,0,0
Best Western Knoxville Suites,24,54,0
Best Western Luxury Inn,2,1,0
Best Western Owasso Inn & Suites,3,12,0
Best Western Plus,4,0,0
Best Western Plus Arlington North Hotel and Suites,33,31,0
Best Western Plus Circle Inn,13,9,0
Best Western Plus French Quarter Landmark Hotel,105,110,0
Best Western Plus Humboldt House Inn,5,16,0
Best Western Plus Kelly Inn,55,66,0
Best Western Plus San Marcos Inn,35,86,0
Best Western Plus Waterville Grand Hotel,85,250,0
Best Western Plus-seaport Inn,4,0,0
Best Western Rama Inn & Suites,1,0,0
Best Western Saint-etienne Aeroport,14,30,0
Best Western Silicon Valley Inn,17,38,0
Best Western University Inn & Suites,23,15,0
Best Western of Long Beach,86,231,0
Bethesda Gardens,0,1,0
Big Mountain Lodge,14,26,0
Blue Boar Inn,13,4,0
Blue Jay Motel,24,2,0
Blue Top Inn,2,8,0
Boardroom Motel,3,9,0
Body Tuneup,0,1,0
Boiling Springs Resort Canoe Rental,1,3,0
Bosselmans Pump Pantry Motel,1,1,0
Brasstown Valley Golf Club,0,2,0
Breakers Hotel,0,2,0
Briarcliff,11,1,0
Bridgetown Mill House Restaurant Inn,5,6,0
Brightwood Inn Country Inn,20,2,0
Brooks Donald L Jr,0,1,0
Brookside Motel,0,1,0
Budget Host,0,1,0
Budget Host Inn,5,6,0
Budget Inn,8,8,0
Budget Inn South,0,3,0
Budget Inn-santa Maria,0,1,0
Busy B Ranch,0,1,0
Cadillac Motel,0,1,0
Cal Neva Resort,0,1,0
Calloway Inn,0,1,0
Cambria Hotel & Suites,40,26,0
Camelback Resort Aquatopia Indoor Waterpark,1,2,0
Campanile Lyon Ecully,7,40,0
Campus Inn & Suites Eugene Downtown,17,77,0
Candlewood,0,1,0
Candlewood Suites Eugene Springfield,16,6,62
