name,city,avg_rating,sample_comment
1785 Inn,North Conway,2.625,"How many ways can one say that one of the best restaurants in the Mt. Washington Valley, NH has closed for Good Still a BB, but they've stopped serving the public. Very Sad. Hopefully, they'll reconsider after a brief respite."
1900 House,Narragansett,4.571428571428571,"The 1900 House is a gorgeous Victorian home meticulously kept inside and out. No effort has been spared, no detail overlooked to assure the comfort and enjoyment of its guests. The beautifully served gourmet breakfasts are memorable, and charming hosts Sandy and Bill make you feel that the house is completely at your disposal. We had a lovely time. Kate... More"
40 Berkeley Hostel,Boston,3.329192546583851,"We booked this hostel because it was the cheapest place in the Center area in boston. When we got there there was a mixup with our reservation and they took care of it right away. Excellent customer service at the front desk, very polite and helpful, answered all our questions. The room was a twin on the sixth floor, very... More"
A Bed & Breakfast In Cambridge,Cambridge,3.574074074074074,"Breakfast was the best, and the best thing about the stay was the one and only host, great conversations at breakfast and advise on the city. Very nice neighborhood. Only reason that it did not get 5 stars is that the room has room for improvement, not any fault of the host. This is bed and breakfast, but not your honeymoon style BB, I would stay here again. Room comfort could improve with a new air conditioning unit, other then that five stars. Sharing the bathroom, never a problem, and coming in and out with you wanted never a problem. No need to rent a car, easy with public transportation."
A Swallow's Nest Motel,Vashon,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Abbeville Inn,Abbeville,,"Budget hotel offers standard amenities and low rates to road-weary travelers. In ShortSince 1946, this Phoenix, Ariz.-based hotel chain has provided guests with comfortable accommodations. Its BestRequests program offers 16 of the most frequently requested services and amenities, including complimentary in-room tea/coffeemakers, hair dryers, iron and ironing boards, free local calls less than 30 minutes and long-distance access. Complimentary toiletries, like toothpaste, razors and sewing kits, are also available upon request. Business travelers will enjoy the computer data ports in each room and photocopying services."
Acorn Motor Inn,Oak Harbor,3.75,"When we arrived there were men smoking on both the balconies, the parking lot had a lot of trash in it, and the lobby reeked of weed. None of these were too bad though the receptionist was very nice, our room smelled clean and was very comfortable. We enjoyed the soft pillows and the free HBO. The most disappointing part... More"
Adobe Nido Bed & Breakfast,Albuquerque,,wonderful little b&b nestled right in the middle of albuquerque. i highly suggest that you come here. the staff is just as friendly as possible and the rooms are very clean. its a home away from home.
Adria Motor Inn,Bayside,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Advance Motel,Ironwood,1.0,"One word. Horrible. Lol worst owner ever, completely ignorant"
Agate Beach Motel,Newport,4.619047619047619,A little dated but totally comfortable. Loved the deck out front overlooking the ocean. Staff are lovely and very helpful to make your stay comfy. To reach the beach you go down a steep staircase but there are a few levels for you to pause and catch your breath. The beach below is a great place to stroll and look... More
Albert's Motel,Burnsville,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Alpine Motel,Providence,5.0,"mad skanks live in room 13 and 15. and if you need anything the stoned, gayporn watching, shoeless manager will definitely help you out"
Alyssa's Motel,Casco,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Ambassador Inn Albuquerque,Albuquerque,3.2,"Cheap-quality room in industrial area. No restaurants or other services nearby. Hard bed, sloppy cleaning, few electrical outlets, lots of road noise. Breakfast is stale donuts and usually empty orange-juice dispenser. Bathroom has no towel bars or even hooks, and little space for toiletries. Window is cracked and hard to open or close. TV is old, with pocked glass. On... More"
Ambassadors Inn and Suites,Virginia Beach,2.6346153846153846,Relaxing. Nice and peaceful.
Ambiance,Franklin Park,,This is a good spot to chill
America's Best Value Inn,New Stanton,2.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
American Star Inn and Suites Atlantic City,Absecon,2.4545454545454546,"My stay at that place was horrible the bed had scum stains on it. I let the manager know and he showed me a receipt that they clean the sheets but, it was the comforter. They didn't have a coffee maker, neither did they have a iron and ironing board. The place was filthy the mirror wasn't clean the toilet has some stuff in it the hot tub supposedly was the big attraction and that was nasty too. The walls are paper thin."
Americana Resort Properties,Dillon,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Americas Best Value Inn,Percival,2.7102473498233217,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Americas Best Value Inn - Medical Center/airport,El Paso,3.6923076923076925,The only complaint that I have is that the bed was very uncomfortable as everytime you would move it would squeak and since it got cold there wasn't a thick cover provided on the bed.
Americas Best Value Inn and Suites,Lees Summit,2.6153846153846154,"We stayed two nights...busy weekend in KC...I left a list of things I wanted addressed while we were out the first day..none was addressed...there were papers behind the dresser..cobwebs in the bathroom..dirty recliner...bedspread dirty...phone was filthy..towels were too thin..and to top it off, the last night a huge black bug crawled on the floor in the bathroom...I gave it to the clerk...breakfast was sparse...do not recommend this privately owned place...it is a disgrace..."
Americinn Coralville,Coralville,3.3727272727272726,Close to my friends in Oxford very accessible to highway
Americinn Lodge & Suites Appleton,Appleton,3.225806451612903,"The hotel was great for a weekend getaway. Nice, clean rooms. Very good breakfast (as far as hotel breakfasts go!), fun pool and waterslide. A bit disappointing that the waterslide only had limited hours (mainly in the evening for 2 or 3 hours), as it limited how much the kids could use the slide. They had a great time though... More"
Americinn Lodge Suites Austin,Austin,4.258064516129032,Pat was excellent at the front desk and went above and beyond. We were 1 of 2 high school teams that were staying there and he did an awesome job. Would absolutely stay there again. The breakfast was hot and went past 10 to help out the girls that slept in a little.
Americinn Lodge Suites Oscoda - Ausable River,Oscoda,4.75,The entire staff made you feel as if you part of their family all friendly and extremely helpful ! The pool area was clean and warm. They let us us the special room so we could play our card games and even brought us warm cookies
Americinn Lodge Suites Princeton,Princeton,4.74468085106383,"We only live 40 miles from Princeton, but we stayed here for NYE 2016. What a fun time! The hotel is done in an outdoorsy, woodlands theme, and the lobby is very beautiful. The staff greeted us like we were family, and attended to all of our needs, as we were meeting friends there to celebrate the New Year. Since... More"
Americinn Lodge and Suites,Cody,0.0,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
Amerihost Inn,Jeffersonville,0.0,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Amisos Hotel,Naples,3.75,"This hotel is placed confortable for sightseeing.We could mainly palace and temple in old town on foot.There is a in front of the gurhane station.Staff can speak English fluently. The room is like a business hotel. I happened a trouble which stuck a credit card in ATM.They cope with good attitude.I was saved by them. The prices are affordable. Breakfast is served hum,cheese,bread,olive,tomato,conefrake,and so on. There is a foorball bar next hotel."
Anaheim Marriott Suites,Garden Grove,4.333090909090909,"This is my familys go to hotel for Southern California Trips. Although its walking distance to Disney which is great, and have an awesome shuttle to Disney for those that dont want to walk when we stay here, were able to go to great shopping nearby, beautiful beaches, Knotts Berry Farm, and other popular destinations. We always have a great... More"
Anglers Inn,Jackson,3.875,All fine. Room clean comfortable and convenient. Slept well and enjoyed facilities in the room.
